Mes,Precio
1994,102
1995,148
1996,117
1997,113
1998,95
1999,87
2000,97
2001,91
2002,106
2003,111
2004,95
2005,102
2006,160
2007,180
2008,158
2009,164
2010,250
2011,258
2012,308
2013,197
2014,178
2015,163
2016,152
2017,148
2018,167
2019,166
