"AÑOS";"Balanza"
2000;149705104
2001;367709364
2002;818559286
2003;812891274
2004;408406937
2005;94535574
2006;-1045428946
2007;-828416213
2008;-2124976687
2009;-1437027480
2010;-2876660732
2011;-3772529967
2012;-3472953747
2013;-1845728048
2014;-1663441645
2015;-1201819835
2016;-538447866
2017;-2347545899
2018;-3391724780
2019;-3787344302
2020;-966620270
2021;-1954508259
2022;-4657648295,37997
2023;-2675933249,53998
