"AÑOS";"Balanza"
2000;-1983192726
2001;1463272262
2002;11872392700
2003;23469580986
2004;31308033346
2005;43905616804
2006;45050050955
2007;37774430986
2008;21057532879
2009;22394059291
2010;17097165067
2011;25696548762
2012;14786107757
2013;-8956635076
2014;-9899786201
2015;13678091924
2016;40204767637
2017;56036659812
2018;46567535473
2019;35198835582
2020;50393412257
2021;61406522999
2022;61761339562
2023;89481166455
