"AÑOS";"Balanza"
2000;-213750522
2001;-208546007
2002;-172676472
2003;-215997493
2004;-337386664
2005;-532898331
2006;-1199931079
2007;-1497908291
2008;-2252054043
2009;-1919110050
2010;-3221399960
2011;-3408809137
2012;-2937497409
2013;-3159533859
2014;-2833602054
2015;-2225029866
2016;-2470602070
2017;-3422942522
2018;-3536518159
2019;-3987778230
2020;-2841615258
2021;-3684842154
2022;-4201743634,6
2023;-4566613874,5
