"AÑOS";"Balanza"
2000;-134347953
2001;581104234
2002;967549875
2003;2388134628
2004;1735169374
2005;1489623924
2006;422844269
2007;-1819596494
2008;-3515453241
2009;5090351859
2010;5156060314
2011;11518422847
2012;6981069705
2013;8697726035
2014;3262393732
2015;4441293567
2016;11783387722
2017;19934470558
2018;28772324991
2019;27329224901
2020;33009632193
2021;40256940837
2022;28974311497
2023;46825997812
