"AÑOS";"Balanza"
2000;-263294939
2001;142281578
2002;785533330
2003;1807195014
2004;1329519026
2005;1125336391,85
2006;564085610,120001
2007;456324137,139996
2008;-246454992,629995
2009;-917514698,540003
2010;-1332930066,54
2011;-3969569545,25
2012;-4343204290,01002
2013;-5286222205,4
2014;-5839327309,8
2015;-6176961885,76
2016;-5593980868,3
2017;-7339232216,6
2018;-7271544826,19001
2019;-2008089122,17001
2020;-3001040803,18
2021;-6187347642,59001
2022;-7926931344,45
2023;-8035072379,88
