Mes,Precio
1994,260
1995,341
1996,319
1997,269
1998,277
1999,233
2000,184
2001,179
2002,186
2003,198
2004,278
2005,280
2006,305
2007,360
2008,531
2009,591
2010,532
2011,585
2012,557
2013,451
2014,418
2015,363
2016,373
2017,406
2018,404
2019,432
