Mes,Precio
1994,164
1995,208
1996,175
1997,144
1998,126
1999,102
2000,128
2001,122
2002,162
2003,165
2004,153
2005,164
2006,204
2007,368
2008,220
2009,206
2010,306
2011,269
2012,347
2013,291
2014,269
2015,189
2016,141
2017,184
2018,211
2019,210
