"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20000101","2000","52","2000","191","HRV","Croatia","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","184643","false","-1","N/A",,"false","184643","false",,"false","74044",,"74044","0","false","false",
"C","A","20000101","2000","52","2000","192","CUB","Cuba","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","212416542","false","-1","N/A",,"false","212416542","false",,"false","57904731",,"57904731","0","false","false",
"C","A","20000101","2000","52","2000","203","CZE","Czechia","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1632305","false","-1","N/A",,"false","1632305","false",,"false",,"513706","513706","0","false","false",
"C","A","20000101","2000","52","2000","204","BEN","Benin","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9551525","false","-1","N/A",,"false","9551525","false",,"false","1857878",,"1857878","0","false","false",
"C","A","20000101","2000","52","2000","212","DMA","Dominica","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1250","false","-1","N/A",,"false","1250","false",,"false","206",,"206","0","false","false",
"C","A","20000101","2000","52","2000","218","ECU","Ecuador","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","16","true","-1","N/A",,"false","16","true",,"false","4",,"4","6","false","false",
"C","A","20000101","2000","52","2000","233","EST","Estonia","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","250","false","-1","N/A",,"false","250","false",,"false","758",,"758","0","false","false",
"C","A","20000101","2000","52","2000","234","FRO","Faeroe Isds","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7","false","-1","N/A",,"false","7","false",,"false","19",,"19","0","false","false",
"C","A","20000101","2000","52","2000","246","FIN","Finland","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","499","false","-1","N/A",,"false","499","false",,"false","984",,"984","0","false","false",
"C","A","20000101","2000","52","2000","251","FRA","France","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","177600","false","-1","N/A",,"false","177600","false",,"false","120045",,"120045","0","false","false",
"C","A","20000101","2000","52","2000","258","PYF","French Polynesia","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","100","false","-1","N/A",,"false","100","false",,"false","232",,"232","0","false","false",
"C","A","20000101","2000","52","2000","270","GMB","Gambia","M","Import","156","CHN","China","0","W00","World","H0","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","16231931.322","true","-1","N/A","0","false","19759931.322","true","0","false","4222763.76",,"4222763.76","6","false","true",
"C","A","20000101","2000","52","2000","276","DEU","Germany","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","22300","false","-1","N/A",,"false","22300","false",,"false","5000",,"5000","0","false","false",
"C","A","20000101","2000","52","2000","288","GHA","Ghana","M","Import","156","CHN","China","0","W00","World","H0","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","18509063","false","-1","N/A",,"false","18509063","false",,"false","4043226",,"4043226","0","true","false",
"C","A","20000101","2000","52","2000","324","GIN","Guinea","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","68112781","false","-1","N/A",,"false","68112781","false",,"false","11155054",,"11155054","0","false","false",
"C","A","20000101","2000","52","2000","344","HKG","China, Hong Kong SAR","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9575","false","-1","N/A",,"false","9575","false",,"false","5337803",,"5337803","0","false","false",
"C","A","20000101","2000","52","2000","348","HUN","Hungary","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","269700","false","-1","N/A",,"false","269700","false",,"false","17000",,"17000","0","false","false",
"C","A","20000101","2000","52","2000","352","ISL","Iceland","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14","false","-1","N/A",,"false","14","false",,"false","98",,"98","0","false","false",
