"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20000101","2000","52","2000","258","PYF","French Polynesia","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6440","false","-1","N/A",,"false","6440","false",,"false","6659",,"6659","0","false","false",
"C","A","20000101","2000","52","2000","266","GAB","Gabon","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","24","false","-1","N/A",,"false","24","false",,"false","32",,"32","0","false","false",
"C","A","20000101","2000","52","2000","276","DEU","Germany","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","100800","false","-1","N/A",,"false","100800","false",,"false","54000",,"54000","0","false","false",
"C","A","20000101","2000","52","2000","288","GHA","Ghana","M","Import","156","CHN","China","0","W00","World","H0","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","40","false","-1","N/A",,"false","40","false",,"false","15",,"15","0","true","false",
"C","A","20000101","2000","52","2000","344","HKG","China, Hong Kong SAR","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1417916","false","-1","N/A",,"false","1417916","false",,"false","532961",,"532961","0","false","false",
"C","A","20000101","2000","52","2000","360","IDN","Indonesia","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2801874","false","-1","N/A",,"false","2801874","false",,"false","771472",,"771472","0","false","false",
"C","A","20000101","2000","52","2000","372","IRL","Ireland","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","16254","false","8","kg","16254","false","16254","false","0","false","4640.438","0","4640.438","0","false","true",
"C","A","20000101","2000","52","2000","380","ITA","Italy","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","126280","false","8","kg","126280","false","126280","false","0","false","64441.07","0","64441.07","0","false","true",
"C","A","20000101","2000","52","2000","384","CIV","Côte d'Ivoire","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","221","false","-1","N/A",,"false","221","false",,"false","67",,"67","0","false","false",
"C","A","20000101","2000","52","2000","392","JPN","Japan","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","138537000","false","-1","N/A",,"false","138537000","false",,"false","55784370",,"55784370","0","false","false",
"C","A","20000101","2000","52","2000","404","KEN","Kenya","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2400","false","-1","N/A",,"false","2400","false",,"false","1015",,"1015","0","false","false",
"C","A","20000101","2000","52","2000","410","KOR","Rep. of Korea","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","43440218","false","-1","N/A",,"false","43440218","false",,"false","8447498",,"8447498","0","false","false",
"C","A","20000101","2000","52","2000","422","LBN","Lebanon","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","38","false","-1","N/A",,"false","38","false",,"false","74",,"74","0","false","false",
"C","A","20000101","2000","52","2000","428","LVA","Latvia","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","60","false","8","kg","60","false","60","false","0","false","26.785","0","26.785","0","false","true",
"C","A","20000101","2000","52","2000","446","MAC","China, Macao SAR","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11200","false","8","kg","11200","false","11200","false","0","false","4020.483","0","4020.483","0","false","true",
"C","A","20000101","2000","52","2000","458","MYS","Malaysia","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1828638","false","-1","N/A",,"false","1828638","false",,"false","662902",,"662902","0","false","false",
"C","A","20000101","2000","52","2000","470","MLT","Malta","M","Import","156","CHN","China","0","W00","World","H1","HS","true","1201","Soya beans; whether or not broken","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1000","false","-1","N/A",,"false","1000","false",,"false","629",,"629","0","false","false",
