"Category";"% Participación"
"Resto de los Países";97238004969,45
"China";92232294247,34
"Estados Unidos";35487444365,64
"Chile";11872455808,17
"Países Bajos";11466351775,09
"México";8231564415,31
"España";8130587705,93
"Singapur";6850604788,34
"India";6173917660,35
"Japón";6157408142,85
"Corea (Sur), República de";5833614754,37
"Alemania";5531377465,08
"Canadá";5421667983,56
"Perú";5029556694,31
"Vietnam";4875345694,96
"Colombia";4504802472,83
