ANOS,Exportaciones
2000,1277053254
2001,1218154467
2002,1254219743
2003,1533806473
2004,2171454654
2005,2637948879
2006,3044057764
2007,3261456248
2008,4336877856
2009,3868596229
2010,4556032425
2011,5499227289
2012,6370400212
2013,6710342588
2014,6948397260
2015,6041115332
2016,5245490063
2017,6030769955
2018,5817222076
2019,6120511086
2020,5396375054
2021,7191420228
2022,8458729889
2023,4431557123
