ANOS,Exportaciones
2000,317801167
2001,471470060
2002,397856570
2003,532843761
2004,725752601
2005,762835613
2006,1023777347
2007,1700591086
2008,2757765274
2009,2222443850
2010,3698635684
2011,4500257130
2012,3752121398
2013,5733642682
2014,5844307492
2015,4982692529
2016,4470880652
2017,4555737971
2018,3911938156
2019,3385489826
2020,3264203254
2021,4257514145
2022,4166391563.95
2023,2572349265.75
