ANOS,Exportaciones
2000,17941549192
2001,19127895540
2002,19927251938
2003,24294168986
2004,27783951427
2005,32697683012.17
2006,36607737681.49
2007,43530028800.7299
2008,53895905367.7801
2009,41839058930.8199
2010,51046494858.0499
2011,62312312356.8598
2012,60289361833.3399
2013,56962478755.8601
2014,51743373317.08
2015,44398152944.79
2016,46718576611.5401
2017,46935250598.2599
2018,47988665854.3
2019,52511017167.3898
